# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	246674
#@/user_id	b6ca52f1-d1be-4cc2-9d07-aa8b3716d1d6
a 	吖	c=1 d=3.14571e-306 t=246674
an 	按	c=43 d=0.000784864 t=246674
an bu 	暗部	c=2 d=7.18196e-187 t=246674
an ding 	安定	c=1 d=1.384e-176 t=246674
an fu 	安撫	c=5 d=1 t=210144
an fu 	安服	c=20 d=2.27091 t=243110
an fu qing xu 	安撫情緒	c=1 d=1 t=197458
an guo qu 	按過去	c=1 d=1 t=149487
an hang 	按行	c=1 d=1.87471e-305 t=246674
an hei 	暗黑	c=3 d=0.000146053 t=246674
an heng 	安恆	c=50 d=1.70469 t=243812
an jia 	安家	c=2 d=1.50664e-226 t=246674
an jian 	按鍵	c=10 d=1.42156e-30 t=246674
an ke 	安克	c=2 d=1 t=237639
an ke 	安科	c=7 d=1.14661 t=246561
an kuan dai 	按寬帶	c=1 d=3.0128e-210 t=246674
an li 	按理	c=7 d=2.99896e-09 t=246674
an li 	案例	c=7 d=3.78881e-24 t=246674
an li dai ma 	案例代碼	c=1 d=2.90847e-119 t=246674
an li shuo 	按理說	c=4 d=6.81975e-44 t=246674
an lian 	暗戀	c=3 d=1.60758e-85 t=246674
an mo 	按摩	c=1 d=1.07485e-55 t=246674
an niu 	按扭	c=19 d=1.91633e-31 t=246674
an pai 	安排	c=14 d=4.51644e-32 t=246674
an quan 	安全	c=755 d=2.3238 t=246674
an quan dai 	安全帶	c=1 d=3.31474e-216 t=246674
an quan ling pai 	安全令牌	c=1 d=1.39449e-206 t=246674
an quan ping ce 	安全評測	c=1 d=1 t=176831
an quan shen ji 	安全審計	c=1 d=1 t=144579
an quan shen tou 	安全滲透	c=1 d=1 t=215031
an quan shen tou gong cheng shi 	安全滲透工程師	c=1 d=1 t=215013
an quan wen ti 	安全問題	c=1 d=2.91652e-269 t=246674
an quan xing 	安全性	c=7 d=5.83703e-79 t=246674
an quan yi shi 	安全意識	c=0 d=0.1 t=174249
an quan yi shi xi ze 	安全意識細則	c=1 d=1 t=174250
an sha 	暗殺	c=4 d=1.84532e-253 t=246674
an shang 	安上	c=3 d=1.462e-174 t=246674
an shi 	按時	c=2 d=2.47809e-88 t=246674
an shi 	暗示	c=3 d=6.00709e-88 t=246674
an shun xu 	按順序	c=3 d=1.56193e-99 t=246674
an tian 	安天	c=1 d=1 t=236678
an tian 	按天	c=1 d=1 t=236677
an wan 	安完	c=1 d=7.1783e-130 t=246674
an wang 	暗網	c=3 d=1.57899e-219 t=246674
an wei 	安慰	c=2 d=1 t=209764
an wei 	按位	c=1 d=1 t=155370
an wo men 	按我們	c=1 d=1 t=213015
an xia 	按下	c=8 d=0.00755912 t=246674
an xia lai 	暗下來	c=1 d=4.74123e-74 t=246674
an xia le 	按下了	c=1 d=4.83701e-74 t=246674
an xiang 	暗箱	c=1 d=1.91615e-180 t=246674
an xin 	安心	c=1 d=2.2002e-218 t=246674
an xin fu 	安心付	c=2 d=5.36961e-305 t=246674
an xu 	按需	c=4 d=1.98166e-65 t=246674
an yi 	安逸	c=1 d=1.96364e-28 t=246674
an ying 	暗影	c=1 d=1 t=215737
an zhang 	案長	c=1 d=1 t=175458
an zhao 	按照	c=43 d=0.00036159 t=246674
an zhao yi ding 	按照一定	c=1 d=8.78673e-185 t=246674
an zhe 	按着	c=2 d=3.81129e-123 t=246674
an zhi 	安置	c=4 d=5.99009e-23 t=246674
an zhu 	按住	c=0 d=0.1 t=191996
an zhuang 	安裝	c=183 d=0.0162914 t=246674
an zhuang bao 	安裝包	c=4 d=6.43056e-130 t=246674
an zhuang de 	安裝的	c=1 d=3.30091e-255 t=246674
an zhuang hao 	安裝好	c=1 d=1.29175e-188 t=246674
an zhuang man 	安裝慢	c=1 d=5.30791e-255 t=246674
an zhuang pan 	安裝盤	c=2 d=1.87898e-264 t=246674
an zhuo 	安卓	c=96 d=0.00256704 t=246674
an zhuo ji 	安卓機	c=2 d=1.56506e-05 t=246674
an zi ji 	按自己	c=1 d=3.84725e-204 t=246674
ang 	昂	c=5 d=1 t=198121
ao 	奧	c=27 d=5.88286e-24 t=246674
ao 	熬	c=1 d=1 t=228952
ao ao 	奧奧	c=1 d=1 t=166394
ao ba ma 	奧巴馬	c=1 d=2.54171e-239 t=246674
ao mi ke rong 	奧密克戎	c=1 d=1.02254e-262 t=246674
ao shu 	奧數	c=1 d=6.9027e-140 t=246674
ao te man 	奧特曼	c=1 d=1 t=143223
ao ye 	熬夜	c=2 d=1.39363e-140 t=246674
ba 	八	c=2 d=2.48418e-256 t=246674
ba 	叭	c=1 d=3.07975e-292 t=246674
ba 	吧	c=494 d=1.99117 t=246674
ba 	巴	c=4 d=8.14944e-133 t=246674
ba 	扒	c=1 d=8.44767e-222 t=246674
ba 	把	c=423 d=0.191146 t=246674
ba 	拔	c=3 d=3.86716e-59 t=246674
ba 	爸	c=4 d=4.07312e-50 t=246674
ba ba 	爸爸	c=2 d=5.34412e-188 t=246674
ba bai 	八白	c=0 d=7.67393e-93 t=246674
ba bai 	八百	c=2 d=6.17737e-128 t=246674
ba bai zi 	八白字	c=1 d=7.71239e-92 t=246674
ba bei jing 	八倍鏡	c=1 d=4.4293e-185 t=246674
ba bi 	芭比	c=4 d=1.57025e-261 t=246674
ba biao 	把表	c=1 d=1.10739e-53 t=246674
ba bie ren 	把別人	c=1 d=3.29845e-305 t=246674
ba bing 	把柄	c=1 d=1.24491e-224 t=246674
ba chang 	靶場	c=38 d=1.00222 t=244043
ba de 	巴德	c=1 d=0.0290133 t=246674
ba dian 	八點	c=8 d=1.75716e-68 t=246674
ba dian ban 	八點半	c=4 d=5.34135e-35 t=246674
ba diao 	拔掉	c=4 d=3.98122e-57 t=246674
ba ge 	八個	c=1 d=5.60738e-49 t=246674
ba ge 	八哥	c=2 d=1.26316 t=228453
ba ge deng 	八個燈	c=2 d=2.45702e-58 t=246674
ba ge ren 	八個人	c=1 d=5.63549e-48 t=246674
ba gu 	八股	c=1 d=1 t=191409
ba gua 	八卦	c=2 d=9.48929e-227 t=246674
ba hao 	把號	c=1 d=2.97317e-25 t=246674
ba hui 	把會	c=1 d=5.66645e-83 t=246674
ba huo 	巴貨	c=4 d=7.73878e-133 t=246674
ba huo 	拔火	c=1 d=5.19623e-152 t=246674
ba ji 	靶機	c=1 d=1 t=167911
ba ji si tan 	巴基斯坦	c=1 d=2.38604e-172 t=246674
ba jin zhi 	八進制	c=1 d=1 t=166327
ba le 	拔了	c=1 d=5.98771e-261 t=246674
ba le 	罷了	c=2 d=1.43714e-90 t=246674
ba ni 	把你	c=9 d=0.402524 t=246674
ba ping 	八瓶	c=1 d=4.60805e-268 t=246674
ba qian 	八千	c=1 d=9.11491e-234 t=246674
ba qian 	把錢	c=1 d=1 t=202132
ba qie mian zuo yong 	把切面作用	c=1 d=8.44274e-127 t=246674
ba ren 	把人	c=1 d=1 t=217379
ba shi 	八十	c=2 d=2.18163e-89 t=246674
ba shi liu 	八十六	c=1 d=9.36636e-260 t=246674
ba ta 	把她	c=3 d=8.8949e-35 t=246674
ba ta 	把它	c=6 d=8.48904e-15 t=246674
ba ta men 	把它們	c=1 d=5.49898e-83 t=246674
ba wang 	霸王	c=1 d=5.32812e-94 t=246674
ba wo 	把我	c=20 d=5.16509e-12 t=246674
ba wo 	把握	c=1 d=6.21896e-295 t=246674
ba xi 	巴西	c=1 d=7.3633e-194 t=246674
ba yi ge 	把一個	c=1 d=5.74096e-119 t=246674
ba yi xie 	把一些	c=1 d=8.40689e-77 t=246674
ba zhang 	巴掌	c=0 d=1.32035e-35 t=246674
ba zhe ge 	把這個	c=3 d=3.52291e-21 t=246674
ba zhuo zi 	把桌子	c=1 d=1 t=185965
ba zi bu he 	八字不合	c=1 d=6.01499e-50 t=246674
ba zi ji 	把自己	c=2 d=3.22871e-142 t=246674
bai 	佰	c=1 d=1 t=219945
bai 	擺	c=3 d=3.68106e-67 t=246674
bai 	白	c=13 d=1.04971e-63 t=246674
bai 	百	c=2 d=3.89863e-213 t=246674
bai bai 	拜拜	c=2 d=1.21909e-154 t=246674
bai cu 	白醋	c=2 d=2.70879e-186 t=246674
bai dang 	白當	c=1 d=2.57705e-225 t=246674
bai de 	白的	c=1 d=1.56178e-186 t=246674
bai deng 	拜登	c=2 d=2.16796e-213 t=246674
bai du 	百度	c=48 d=2.42396e-09 t=246674
bai du ren 	擺渡人	c=2 d=5.04315e-65 t=246674
bai du yun 	百度雲	c=2 d=2.17179e-124 t=246674
bai fa 	白髮	c=2 d=3.94302e-250 t=246674
bai fen 	白粉	c=1 d=1.69271e-45 t=246674
bai fen bai 	百分百	c=1 d=1 t=191323
bai fen zhi 	百分之	c=17 d=1.00413e-19 t=246674
bai fu zhang 	百夫長	c=1 d=1 t=193597
bai gan 	白乾	c=2 d=5.34243e-08 t=246674
bai he ce shi 	白盒測試	c=2 d=1.30728 t=181988
bai jiao 	白交	c=1 d=1.78349e-42 t=246674
bai jin long 	白金龍	c=1 d=4.73034e-282 t=246674
bai ke 	百科	c=2 d=1.92312 t=216133
bai le 	掰了	c=1 d=5.28735e-180 t=246674
bai li 	白莉	c=1 d=8.12465e-87 t=246674
bai ling 	白嶺	c=1 d=1 t=199495
bai long 	白龙	c=37 d=1.40985e-27 t=246674
bai mian ju 	白面具	c=2 d=3.43967e-187 t=246674
bai ming dan 	白名單	c=26 d=2.57763e-22 t=246674
bai nian 	拜年	c=1 d=4.82226e-185 t=246674
bai nian 	百年	c=1 d=7.5865e-163 t=246674
bai nian bu yu 	百年不遇	c=1 d=7.62453e-163 t=246674
bai pai 	擺拍	c=1 d=1 t=157992
bai piao 	白嫖	c=5 d=3.21532e-05 t=246674
bai se 	白色	c=3 d=0.000348688 t=246674
bai shui 	白睡	c=1 d=4.75269e-73 t=246674
bai tian 	白天	c=2 d=0.0277367 t=246674
bai tian 	白甜	c=1 d=1.18318e-214 t=246674
bai tou 	掰頭	c=1 d=1 t=241629
bai yin 	白銀	c=2 d=7.24497e-33 t=246674
bai yin cheng 	白銀城	c=2 d=6.99414e-89 t=246674
bai yuan 	百元	c=1 d=2.01302e-172 t=246674
bai zai 	擺在	c=1 d=2.20006e-276 t=246674
bai zhao 	百兆	c=1 d=2.27035e-58 t=246674
ban 	半	c=17 d=0.123687 t=246674
ban 	搬	c=4 d=8.29676e-104 t=246674
ban 	斑	c=5 d=9.08578e-187 t=246674
ban 	版	c=49 d=1.34034e-05 t=246674
ban 	班	c=55 d=0.0113468 t=246674
ban 	般	c=4 d=5.81489e-240 t=246674
ban 	辦	c=14 d=3.09196e-13 t=246674
ban ben 	版本	c=156 d=0.000153336 t=246674
ban ben hao 	版本號	c=7 d=6.42921e-10 t=246674
ban chu lai 	搬出來	c=1 d=1.67354e-205 t=246674
ban dao 	搬到	c=4 d=1.25251e-103 t=246674
ban dao ti 	半導體	c=1 d=1 t=178501
ban fa 	辦法	c=16 d=4.66947e-33 t=246674
ban fa 	頒發	c=3 d=1.00009 t=226191
ban ge 	半個	c=6 d=3.43184e-07 t=246674
ban ge 	搬個	c=1 d=3.61997e-76 t=246674
ban ge duo yue 	半個多月	c=1 d=3.52917e-130 t=246674
ban ge yue 	半個月	c=2 d=1.21963e-218 t=246674
ban gong 	辦公	c=9 d=1.84753e-104 t=246674
ban gong dian nao 	辦公電腦	c=2 d=1.28938 t=175141
ban gong qu 	辦公區	c=8 d=3.81567 t=193081
ban gong shi 	辦公事	c=2 d=1.42484e-224 t=246674
ban gong shi 	辦公室	c=11 d=2.46436e-98 t=246674
ban guo lai 	搬過來	c=3 d=7.9396e-104 t=246674
ban guo qu 	搬過去	c=2 d=6.6455e-104 t=246674
ban hui 	搬回	c=0 d=1.08688e-128 t=246674
ban hui jia 	搬回家	c=1 d=1.09232e-127 t=246674
ban ji 	班級	c=6 d=7.168e-25 t=246674
ban jia 	搬家	c=2 d=8.03735e-104 t=246674
ban jiang 	頒獎	c=3 d=5.31204e-90 t=246674
ban jing 	半徑	c=1 d=1 t=166127
ban ka 	辦卡	c=12 d=5.22083e-35 t=246674
ban ka de 	辦卡的	c=1 d=4.62039e-35 t=246674
ban kuai 	版塊	c=1 d=3.17969e-256 t=246674
ban le 	搬了	c=2 d=7.07068e-70 t=246674
ban le 	辦了	c=1 d=1.66509e-263 t=246674
ban li 	辦理	c=4 d=1.26928e-173 t=246674
ban lian jie 	半連接	c=6 d=1.14194e-39 t=246674
ban mian 	拌麪	c=1 d=3.66149e-210 t=246674
ban nian 	半年	c=3 d=1.92934e-55 t=246674
ban ren ma zuo 	半人馬座	c=2 d=8.74085e-241 t=246674
ban shang 	班上	c=3 d=1.66944e-88 t=246674
ban sheng 	伴生	c=7 d=3.64945e-10 t=246674
ban shi 	辦事	c=1 d=1.17787e-73 t=246674
ban shuang gong 	半雙工	c=1 d=6.40352e-198 t=246674
ban tian 	半天	c=36 d=0.980199 t=246674
ban tou ming 	半透明	c=1 d=2.28673e-260 t=246674
ban wan 	搬完	c=1 d=1.1557e-261 t=246674
ban wei 	班委	c=2 d=1.93707 t=235419
ban xiao shi 	半小時	c=2 d=1.66423e-110 t=246674
ban yan 	扮演	c=3 d=8.57791e-108 t=246674
ban ye 	半夜	c=1 d=8.47647e-262 t=246674
ban yun 	搬運	c=3 d=1.29175e-188 t=246674
ban yun gong 	搬運工	c=1 d=3.47544e-126 t=246674
ban zhan 	班站	c=1 d=1.25544e-88 t=246674
ban zhu ren 	班主任	c=1 d=1 t=227011
ban zhuan 	扳轉	c=2 d=5.73989e-195 t=246674
ban zhuan 	搬磚	c=1 d=2.94201e-195 t=246674
ban zi 	板子	c=2 d=2.49263e-98 t=246674
bang 	幫	c=12 d=1.09884e-50 t=246674
bang 	棒	c=1 d=5.35062e-26 t=246674
bang 	綁	c=18 d=1.79799e-49 t=246674
bang 	邦	c=2 d=1.9802 t=209080
bang bang 	幫幫	c=0 d=0.1 t=226887
bang bang ta 	幫幫她	c=1 d=1 t=226888
bang bie ren 	幫別人	c=3 d=1.30672e-59 t=246674
bang bu liao 	幫不了	c=1 d=1.28217e-218 t=246674
bang ding 	綁定	c=65 d=3.24763e-05 t=246674
bang ding pi pei mo shi 	綁定匹配模式	c=1 d=1 t=145451
bang ding zhi 	綁定值	c=1 d=1 t=145440
bang guo 	幫過	c=1 d=8.42149e-69 t=246674
bang guo ni 	幫過你	c=1 d=8.33769e-68 t=246674
bang guo wo 	幫過我	c=1 d=8.4637e-68 t=246674
bang ka 	綁卡	c=2 d=8.08112e-112 t=246674
bang mang 	幫忙	c=17 d=3.96869e-11 t=246674
bang ni 	幫你	c=14 d=7.80766e-55 t=246674
bang ta 	幫他	c=5 d=1.94606e-61 t=246674
bang ta 	幫她	c=3 d=3.48051e-55 t=246674
bang wo 	幫我	c=81 d=1.05235e-12 t=246674
bang yang 	榜樣	c=2 d=1.48086e-119 t=246674
bang yi 	邦易	c=2 d=0.1 t=240681
bang yi ke ji 	邦易科技	c=1 d=1 t=240682
bang zhu 	幫助	c=23 d=8.77022e-16 t=246674
bao 	保	c=1 d=1 t=186764
bao 	包	c=313 d=0.0953692 t=246674
bao 	堡	c=1 d=2.13307e-177 t=246674
bao 	報	c=35 d=0.000110555 t=246674
bao 	寶	c=2 d=1.75069e-147 t=246674
bao 	暴	c=1 d=1.23689e-295 t=246674
bao 	爆	c=8 d=2.25503e-62 t=246674
bao 	飽	c=2 d=5.12095e-98 t=246674
bao 	鴇	c=1 d=6.79696e-223 t=246674
bao ban 	報班	c=1 d=2.77587e-217 t=246674
bao bao 	寶寶	c=1 d=1.14416e-143 t=246674
bao bei 	報備	c=2 d=1.40454 t=174599
bao biao 	報表	c=2 d=1.98511 t=236501
bao bu liao 	爆不了	c=1 d=1 t=218112
bao chi 	保持	c=7 d=1.97146e-16 t=246674
bao chi li 	保持力	c=1 d=1 t=194373
bao chu 	爆出	c=8 d=1 t=238235
bao cun 	保存	c=78 d=1.75114e-54 t=246674
bao cun yu 	保存於	c=1 d=1 t=174275
bao cuo 	報錯	c=109 d=3.06746e-10 t=246674
bao dao 	報到	c=1 d=1 t=215813
bao dao 	報道	c=3 d=3.73291e-202 t=246674
bao di 	保底	c=2 d=1.34772e-187 t=246674
bao fa 	爆發	c=1 d=1.3783e-10 t=246674
bao fei 	報廢	c=1 d=3.29618e-150 t=246674
bao fu 	包袱	c=1 d=1.17801e-280 t=246674
bao fu 	報復	c=1 d=1 t=189605
bao gan 	包乾	c=1 d=1 t=182950
bao gao 	報告	c=35 d=0.729745 t=246674
bao gao ma 	報告嗎	c=1 d=1 t=210909
bao gao qian 	報告前	c=1 d=1 t=174716
bao gao zhong 	報告中	c=1 d=1 t=171123
bao guan 	保管	c=1 d=1.47895e-45 t=246674
bao guan li 	包管理	c=1 d=1 t=214610
bao han 	包含	c=130 d=1.58328e-13 t=246674
bao han 	飽漢	c=3 d=3.04605e-77 t=246674
bao han shi 	飽漢式	c=5 d=7.85361e-77 t=246674
bao han wang luo nei 	包含網絡內	c=1 d=1 t=149881
bao han zai 	包含在	c=1 d=1 t=144601
bao he 	飽和	c=5 d=9.65377e-184 t=246674
bao hu 	保護	c=7 d=0.1 t=232867
bao huo 	保活	c=11 d=2.47207 t=160490
bao jia li ya 	保加利亞	c=1 d=7.25367e-194 t=246674
bao jiao huan 	包交換	c=3 d=2.72101 t=165318
bao jie 	保潔	c=1 d=1.54276e-42 t=246674
bao jing 	報警	c=1 d=3.18898e-114 t=246674
bao jun 	暴君	c=3 d=1.93861e-159 t=246674
bao kao 	報考	c=1 d=1 t=171109
bao ku 	爆庫	c=1 d=1 t=203862
bao kuo 	包括	c=54 d=2.86651e-07 t=246674
bao kuo dan bu xian yu 	包括但不限於	c=1 d=1 t=174613
bao le 	報了	c=3 d=5.64527e-39 t=246674
bao li 	暴力	c=10 d=5.20504e-25 t=246674
bao li 	爆力	c=2 d=1.00048e-35 t=246674
bao liu 	保留	c=17 d=9.84075e-18 t=246674
bao lu 	暴露	c=8 d=6.48529e-19 t=246674
bao lu wen ti 	暴露問題	c=1 d=1 t=197494
bao lu zai 	暴露在	c=1 d=0.000602152 t=246674
bao man 	飽滿	c=1 d=2.29637e-46 t=246674
bao man dian 	飽滿點	c=1 d=1 t=226118
bao mi 	保密	c=6 d=1 t=203344
bao mi pei xun 	保密培訓	c=1 d=1 t=174941
bao ming 	包名	c=7 d=0.000102569 t=246674
bao ming 	報名	c=3 d=1 t=183574
bao po 	爆破	c=14 d=1.98511 t=238522
bao po ma 	爆破嗎	c=1 d=1 t=225569
bao qian 	抱歉	c=4 d=6.95312e-108 t=246674
bao qian bao qian 	抱歉抱歉	c=1 d=1 t=172961
bao rong 	包容	c=1 d=1 t=162525
bao sao 	包掃	c=1 d=5.01703e-240 t=246674
bao sao miao 	包掃瞄	c=9 d=6.71604e-141 t=246674
bao sha 	暴殺	c=1 d=1.72187e-187 t=246674
bao shang qu 	報上去	c=1 d=2.64559e-34 t=246674
bao ta 	保塔	c=1 d=1 t=175903
bao ta 	寶塔	c=35 d=9.29696e-16 t=246674
bao ting 	報停	c=16 d=1.59294e-95 t=246674
bao tou 	報頭	c=13 d=5.25092e-40 t=246674
bao tou shi 	報頭時	c=1 d=1 t=154548
bao tou zhong 	報頭中	c=2 d=1 t=165610
bao wan 	寶玩	c=1 d=7.14643e-254 t=246674
bao wen 	報文	c=80 d=0.0119645 t=246674
bao wen hou 	報文後	c=1 d=2.5559e-40 t=246674
bao wen shu 	報文數	c=1 d=1 t=163512
bao xia 	包下	c=1 d=1.33739e-126 t=246674
bao xian 	保險	c=2 d=3.53578e-152 t=246674
bao xiao 	報銷	c=1 d=1.16613e-249 t=246674
bao xiao zu guo 	报效祖国	c=1 d=1.12521e-123 t=246674
bao xiu 	保修	c=3 d=0.00199069 t=246674
bao yi ge 	包一個	c=1 d=3.39332e-80 t=246674
bao you 	包郵	c=1 d=0.000274654 t=246674
bao you 	抱有	c=1 d=1 t=151424
bao zai fan 	煲仔飯	c=1 d=1 t=161847
bao zha 	爆炸	c=2 d=6.1482e-43 t=246674
bao zhang 	保障	c=5 d=1.00507 t=242316
bao zhe 	抱着	c=2 d=2.57895e-28 t=246674
bao zheng 	保證	c=55 d=5.37012e-10 t=246674
bao zheng bao wen yi ding neng gou fa song dao ke hu duan 	保證報文一定能夠發送到客戶端	c=1 d=1.30788e-40 t=246674
bao zhi 	報紙	c=1 d=0.0141931 t=246674
bao zhong 	包中	c=3 d=1 t=158824
bao zhuang 	包裝	c=13 d=3.68978e-08 t=246674
bao zhuang lei 	包裝類	c=5 d=1.01842e-172 t=246674
bao zi 	包子	c=0 d=4.70434e-240 t=246674
bao zi dian 	包子店	c=1 d=2.35806e-239 t=246674
bei 	倍	c=4 d=9.69228e-46 t=246674
bei 	北	c=3 d=6.11734e-72 t=246674
bei 	唄	c=50 d=0.0385808 t=246674
bei 	盃	c=5 d=2.6246 t=201693
bei 	背	c=5 d=7.47875e-14 t=246674
bei 	被	c=337 d=0.318631 t=246674
bei 	輩	c=0 d=0.1 t=234018
bei ai 	悲哀	c=1 d=7.05729e-225 t=246674
bei an 	備案	c=11 d=0.000345679 t=246674
bei bao han 	被包含	c=1 d=1 t=145296
bei biao ji 	被標記	c=2 d=7.55759e-30 t=246674
bei biao zhu 	被標注	c=1 d=1.76409e-266 t=246674
bei bu 	被捕	c=1 d=1 t=152730
bei bu zhu 	背不住	c=1 d=1 t=240508
bei cao 	被操	c=1 d=1 t=187770
bei cao le 	被操了	c=1 d=1 t=184517
bei cheng wei 	被稱爲	c=11 d=1.94145e-11 t=246674
bei chu shu 	被除數	c=1 d=2.51591e-266 t=246674
bei da 	北大	c=1 d=1 t=199492
bei da po 	被打破	c=1 d=7.29097e-78 t=246674
bei dang zuo 	被當作	c=1 d=1 t=212260
bei diao yong 	被調用	c=3 d=7.07965e-47 t=246674
bei ding yi 	被定義	c=1 d=1 t=144621
bei dong 	被動	c=3 d=7.16952e-145 t=246674
bei fang 	北方	c=1 d=1 t=233139
bei fen 	備份	c=34 d=9.18795e-34 t=246674
bei feng 	被封	c=1 d=1.55748e-184 t=246674
bei gan diao 	被幹掉	c=1 d=1 t=237059
bei gong ji 	被攻擊	c=2 d=1 t=230167
bei guo 	背過	c=2 d=1 t=217834
bei guo lv 	被過濾	c=1 d=1 t=219290
bei hu lve 	被忽略	c=1 d=1 t=206931
bei huan cun 	被緩存	c=1 d=1 t=168535
bei hui lai 	背回來	c=1 d=2.83397e-196 t=246674
bei ji huo 	被激活	c=1 d=4.32152e-13 t=246674
bei jie xi 	被解析	c=1 d=1 t=179568
bei jing 	北京	c=23 d=1.10733 t=246674
bei jing 	背景	c=30 d=0.000349153 t=246674
bei ju bao 	被舉報	c=1 d=3.91646e-296 t=246674
bei ju jue 	被拒絕	c=2 d=1 t=209462
bei kao 	備考	c=2 d=4.23986e-112 t=246674
bei keng le 	被坑了	c=1 d=1.02125e-159 t=246674
bei lan jie 	被攔截	c=2 d=4.34022e-05 t=246674
bei le 	背了	c=1 d=1 t=141281
bei lun 	悖論	c=1 d=1 t=161026
bei mian 	背面	c=1 d=1.1417e-59 t=246674
bei ni 	背你	c=3 d=1.76539e-69 t=246674
bei ni 	被你	c=2 d=1.11304 t=187908
bei ni men 	被你們	c=1 d=1.76992e-246 t=246674
bei nu yi 	被奴役	c=1 d=3.83014e-181 t=246674
bei ou 	北歐	c=2 d=2.1417e-224 t=246674
bei pai qu 	被派去	c=1 d=1 t=195753
bei po 	被迫	c=4 d=6.26032e-226 t=246674
bei qiang 	被牆	c=4 d=2.20236e-112 t=246674
bei qiang po 	被強迫	c=1 d=1 t=158571
bei qing qiu 	被請求	c=1 d=1.14299e-131 t=246674
bei qu xiao 	被取消	c=1 d=1.13099e-07 t=246674
bei ren 	被人	c=1 d=1.61829e-163 t=246674
bei ren zheng 	被認證	c=1 d=1.08511 t=153531
bei ren zheng fang 	被認證方	c=1 d=1 t=153532
bei rong 	被榮	c=1 d=1 t=179344
bei rui 	貝銳	c=5 d=2.23858e-192 t=246674
bei shan 	被刪	c=1 d=7.09749e-232 t=246674
bei shan chu 	被刪除	c=2 d=5.39704e-10 t=246674
bei shan le 	被刪了	c=1 d=4.54316e-307 t=246674
bei shi fang 	被釋放	c=1 d=1 t=147374
bei shua xin 	被刷新	c=1 d=1 t=159192
bei tong cheng 	被統稱	c=1 d=1 t=145769
bei wang lu 	備忘錄	c=8 d=3.47525e-65 t=246674
bei wen 	被問	c=1 d=1.33244e-53 t=246674
bei wen guo 	被問過	c=1 d=1 t=243193
bei wo 	被我	c=5 d=2.58752e-08 t=246674
bei wo 	被窩	c=1 d=2.41562e-258 t=246674
bei xia lai 	背下來	c=1 d=1 t=240383
bei xie 	被寫	c=1 d=4.4105e-135 t=246674
bei xu ni ji 	被虛擬機	c=1 d=1.55102e-46 t=246674
bei xuan gao 	被宣告	c=2 d=1 t=157592
bei ya 	背壓	c=14 d=0.236932 t=246674
bei yi ge huo duo ge qie mian 	被一個或多個切面	c=1 d=8.15235e-127 t=246674
bei yong 	備用	c=2 d=2.94199e-11 t=246674
bei yong lai 	被用來	c=1 d=1 t=143581
bei yun xu 	被允許	c=1 d=1.01775e-148 t=246674
bei zha 	被炸	c=1 d=1 t=223529
bei zhan 	備戰	c=1 d=3.95095e-164 t=246674
bei zhao dao 	被找到	c=1 d=1 t=146222
bei zhe 	背着	c=2 d=1.39569e-24 t=246674
